rho,sqnr_sq_db,sqnr_vq_db,gain_db
0.000000000000000000e+00,9.256262217238294454e+00,9.650426046986076756e+00,3.941638297477823016e-01
1.000000000000000056e-01,9.297718120954053589e+00,9.670576032950901180e+00,3.728579119968475908e-01
2.000000000000000111e-01,9.288254765176255034e+00,9.750005373287963906e+00,4.617506081117088712e-01
2.999999999999999889e-01,9.286425495879303327e+00,9.915191045781908130e+00,6.287655499026048034e-01
4.000000000000000222e-01,9.288586445714258844e+00,1.010042238910637735e+01,8.118359433921185087e-01
5.000000000000000000e-01,9.289215362019838551e+00,1.032839295351762132e+01,1.039177591497782771e+00
5.999999999999999778e-01,9.281181284891701466e+00,1.070216996768309059e+01,1.420988682791389124e+00
6.999999999999999556e-01,9.271961316645688456e+00,1.125848824186041774e+01,1.986526925214729289e+00
8.000000000000000444e-01,9.273614357268444408e+00,1.207873335022173045e+01,2.805118992953286039e+00
8.499999999999999778e-01,9.269713837925127820e+00,1.264796281362978725e+01,3.378248975704659429e+00
9.000000000000000222e-01,9.264533747642740735e+00,1.359720289162659235e+01,4.332669143983851612e+00
9.499999999999999556e-01,9.260305048815013151e+00,1.503831181442750697e+01,5.778006765612493822e+00
